"r_sun","cvenet","ent","cvemun","mun","zona_met","tipo_ciudad","nombre_corto"
1,0,"Aguascalientes",1001,"Aguascalientes","Aguascalientes",1,"Aguascalientes"
1,0,"Aguascalientes",1005,"Jesús María","Aguascalientes",1,"Aguascalientes"
1,0,"Aguascalientes",1011,"San Francisco de los Romo","Aguascalientes",1,"Aguascalientes"
2,0,"Baja California",2003,"Tecate","Tijuana",1,"Tijuana"
2,0,"Baja California",2004,"Tijuana","Tijuana",1,"Tijuana"
2,0,"Baja California",2005,"Playas de Rosarito","Tijuana",1,"Tijuana"
3,0,"Baja California",2002,"Mexicali","Mexicali",1,"Mexicali"
4,0,"Coahuila",5017,"Matamoros","La Laguna",1,"La Laguna"
4,0,"Coahuila",5035,"Torreón","La Laguna",1,"La Laguna"
4,0,"Durango",10007,"Gómez Palacio","La Laguna",1,"La Laguna"
4,0,"Durango",10012,"Lerdo","La Laguna",1,"La Laguna"
5,0,"Coahuila",5004,"Arteaga","Saltillo",1,"Saltillo"
5,0,"Coahuila",5027,"Ramos Arizpe","Saltillo",1,"Saltillo"
5,0,"Coahuila",5030,"Saltillo","Saltillo",1,"Saltillo"
6,0,"Coahuila",5006,"Castaños","Monclova-Frontera",1,"Monclova"
6,0,"Coahuila",5010,"Frontera","Monclova-Frontera",1,"Monclova"
6,0,"Coahuila",5018,"Monclova","Monclova-Frontera",1,"Monclova"
7,0,"Coahuila",5022,"Nava","Piedras Negras",1,"Piedras Negras"
7,0,"Coahuila",5025,"Piedras Negras","Piedras Negras",1,"Piedras Negras"
8,0,"Colima",6002,"Colima","Colima-Villa de Álvarez",1,"Colima"
8,0,"Colima",6003,"Comala","Colima-Villa de Álvarez",1,"Colima"
8,0,"Colima",6004,"Coquimatlán","Colima-Villa de Álvarez",1,"Colima"
8,0,"Colima",6005,"Cuauhtémoc","Colima-Villa de Álvarez",1,"Colima"
8,0,"Colima",6010,"Villa de Álvarez","Colima-Villa de Álvarez",1,"Colima"
9,0,"Colima",6001,"Armería","Tecomán",1,"Tecomán"
9,0,"Colima",6009,"Tecomán","Tecomán",1,"Tecomán"
10,0,"Chiapas",7012,"Berriozábal","Tuxtla Gutiérrez",1,"Tuxtla"
10,0,"Chiapas",7027,"Chiapa de Corzo","Tuxtla Gutiérrez",1,"Tuxtla"
10,0,"Chiapas",7101,"Tuxtla Gutiérrez","Tuxtla Gutiérrez",1,"Tuxtla"
11,0,"Chihuahua",8037,"Juárez","Juárez",1,"Juárez"
12,0,"Chihuahua",8002,"Aldama","Chihuahua",1,"Chihuahua"
12,0,"Chihuahua",8004,"Aquiles Serdán","Chihuahua",1,"Chihuahua"
12,0,"Chihuahua",8019,"Chihuahua","Chihuahua",1,"Chihuahua"
13,0,"Ciudad de México",9002,"Azcapotzalco","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9003,"Coyoacán","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9004,"Cuajimalpa de Morelos","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9005,"Gustavo A. Madero","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9006,"Iztacalco","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9007,"Iztapalapa","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9008,"La Magdalena Contreras","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9009,"Milpa Alta","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9010,"Álvaro Obregón","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9011,"Tláhuac","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9012,"Tlalpan","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9013,"Xochimilco","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9014,"Benito Juárez","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9015,"Cuauhtémoc","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9016,"Miguel Hidalgo","Valle de México",1,"CDMX"
13,0,"Ciudad de México",9017,"Venustiano Carranza","Valle de México",1,"CDMX"
13,0,"Hidalgo",13069,"Tizayuca","Valle de México",1,"CDMX"
13,0,"México",15002,"Acolman","Valle de México",1,"CDMX"
13,0,"México",15009,"Amecameca","Valle de México",1,"CDMX"
13,0,"México",15010,"Apaxco","Valle de México",1,"CDMX"
13,0,"México",15011,"Atenco","Valle de México",1,"CDMX"
13,0,"México",15013,"Atizapán de Zaragoza","Valle de México",1,"CDMX"
13,0,"México",15015,"Atlautla","Valle de México",1,"CDMX"
13,0,"México",15016,"Axapusco","Valle de México",1,"CDMX"
13,0,"México",15017,"Ayapango","Valle de México",1,"CDMX"
13,0,"México",15020,"Coacalco de Berriozábal","Valle de México",1,"CDMX"
13,0,"México",15022,"Cocotitlán","Valle de México",1,"CDMX"
13,0,"México",15023,"Coyotepec","Valle de México",1,"CDMX"
13,0,"México",15024,"Cuautitlán","Valle de México",1,"CDMX"
13,0,"México",15025,"Chalco","Valle de México",1,"CDMX"
13,0,"México",15028,"Chiautla","Valle de México",1,"CDMX"
13,0,"México",15029,"Chicoloapan","Valle de México",1,"CDMX"
13,0,"México",15030,"Chiconcuac","Valle de México",1,"CDMX"
13,0,"México",15031,"Chimalhuacán","Valle de México",1,"CDMX"
13,0,"México",15033,"Ecatepec de Morelos","Valle de México",1,"CDMX"
13,0,"México",15034,"Ecatzingo","Valle de México",1,"CDMX"
13,0,"México",15035,"Huehuetoca","Valle de México",1,"CDMX"
13,0,"México",15036,"Hueypoxtla","Valle de México",1,"CDMX"
13,0,"México",15037,"Huixquilucan","Valle de México",1,"CDMX"
13,0,"México",15038,"Isidro Fabela","Valle de México",1,"CDMX"
13,0,"México",15039,"Ixtapaluca","Valle de México",1,"CDMX"
13,0,"México",15044,"Jaltenco","Valle de México",1,"CDMX"
13,0,"México",15046,"Jilotzingo","Valle de México",1,"CDMX"
13,0,"México",15050,"Juchitepec","Valle de México",1,"CDMX"
13,0,"México",15053,"Melchor Ocampo","Valle de México",1,"CDMX"
13,0,"México",15057,"Naucalpan de Juárez","Valle de México",1,"CDMX"
13,0,"México",15058,"Nezahualcóyotl","Valle de México",1,"CDMX"
13,0,"México",15059,"Nextlalpan","Valle de México",1,"CDMX"
13,0,"México",15060,"Nicolás Romero","Valle de México",1,"CDMX"
13,0,"México",15061,"Nopaltepec","Valle de México",1,"CDMX"
13,0,"México",15065,"Otumba","Valle de México",1,"CDMX"
13,0,"México",15068,"Ozumba","Valle de México",1,"CDMX"
13,0,"México",15069,"Papalotla","Valle de México",1,"CDMX"
13,0,"México",15070,"La Paz","Valle de México",1,"CDMX"
13,0,"México",15075,"San Martín de las Pirámides","Valle de México",1,"CDMX"
13,0,"México",15081,"Tecámac","Valle de México",1,"CDMX"
13,0,"México",15083,"Temamatla","Valle de México",1,"CDMX"
13,0,"México",15084,"Temascalapa","Valle de México",1,"CDMX"
13,0,"México",15089,"Tenango del Aire","Valle de México",1,"CDMX"
13,0,"México",15091,"Teoloyucan","Valle de México",1,"CDMX"
13,0,"México",15092,"Teotihuacán","Valle de México",1,"CDMX"
13,0,"México",15093,"Tepetlaoxtoc","Valle de México",1,"CDMX"
13,0,"México",15094,"Tepetlixpa","Valle de México",1,"CDMX"
13,0,"México",15095,"Tepotzotlán","Valle de México",1,"CDMX"
13,0,"México",15096,"Tequixquiac","Valle de México",1,"CDMX"
13,0,"México",15099,"Texcoco","Valle de México",1,"CDMX"
13,0,"México",15100,"Tezoyuca","Valle de México",1,"CDMX"
13,0,"México",15103,"Tlalmanalco","Valle de México",1,"CDMX"
13,0,"México",15104,"Tlalnepantla de Baz","Valle de México",1,"CDMX"
13,0,"México",15108,"Tultepec","Valle de México",1,"CDMX"
13,0,"México",15109,"Tultitlán","Valle de México",1,"CDMX"
13,0,"México",15112,"Villa del Carbón","Valle de México",1,"CDMX"
13,0,"México",15120,"Zumpango","Valle de México",1,"CDMX"
13,0,"México",15121,"Cuautitlán Izcalli","Valle de México",1,"CDMX"
13,0,"México",15122,"Valle de Chalco Solidaridad","Valle de México",1,"CDMX"
13,0,"México",15125,"Tonanitla","Valle de México",1,"CDMX"
14,0,"Guanajuato",11020,"León","León",1,"León"
14,0,"Guanajuato",11037,"Silao","León",1,"León"
15,0,"Guanajuato",11025,"Purísima del Rincón","San Francisco del Rincón",1,"San Francisco"
15,0,"Guanajuato",11031,"San Francisco del Rincón","San Francisco del Rincón",1,"San Francisco"
16,0,"Guerrero",12001,"Acapulco de Juárez","Acapulco",1,"Acapulco"
16,0,"Guerrero",12021,"Coyuca de Benítez","Acapulco",1,"Acapulco"
17,0,"Hidalgo",13022,"Epazoyucan","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13039,"Mineral del Monte","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13048,"Pachuca de Soto","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13051,"Mineral de la Reforma","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13052,"San Agustín Tlaxiaca","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13082,"Zapotlán de Juárez","Pachuca",1,"Pachuca"
17,0,"Hidalgo",13083,"Zempoala","Pachuca",1,"Pachuca"
18,0,"Hidalgo",13016,"Cuautepec de Hinojosa","Tulancingo",1,"Tulancingo"
18,0,"Hidalgo",13056,"Santiago Tulantepec de Lugo Guerrero","Tulancingo",1,"Tulancingo"
18,0,"Hidalgo",13077,"Tulancingo de Bravo","Tulancingo",1,"Tulancingo"
19,0,"Hidalgo",13010,"Atitalaquia","Tula",1,"Tula"
19,0,"Hidalgo",13013,"Atotonilco de Tula","Tula",1,"Tula"
19,0,"Hidalgo",13070,"Tlahuelilpan","Tula",1,"Tula"
19,0,"Hidalgo",13074,"Tlaxcoapan","Tula",1,"Tula"
19,0,"Hidalgo",13076,"Tula de Allende","Tula",1,"Tula"
20,0,"Jalisco",14039,"Guadalajara","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14044,"Ixtlahuacán de los Membrillos","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14051,"Juanacatlán","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14070,"El Salto","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14097,"Tlajomulco de Zúñiga","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14098,"Tlaquepaque","Guadalajara",1,"Guadalajara"
20,0,"Jalisco",14101,"Tonalá","Guadalajara",1,"Guadalajara"
