"CVEMET","zona_met","nombre_corto","ent","CVEMUN","CVEENT"
1,"Aguascalientes","Aguascalientes","Aguascalientes",1001,1
1,"Aguascalientes","Aguascalientes","Aguascalientes",1005,1
1,"Aguascalientes","Aguascalientes","Aguascalientes",1011,1
2,"Tijuana","Tijuana","Baja California",2003,2
2,"Tijuana","Tijuana","Baja California",2004,2
2,"Tijuana","Tijuana","Baja California",2005,2
3,"Mexicali","Mexicali","Baja California",2002,2
4,"La Laguna","La Laguna","Coahuila",5017,5
4,"La Laguna","La Laguna","Coahuila",5035,5
4,"La Laguna","La Laguna","Durango",10007,10
4,"La Laguna","La Laguna","Durango",10012,10
5,"Saltillo","Saltillo","Coahuila",5004,5
5,"Saltillo","Saltillo","Coahuila",5027,5
5,"Saltillo","Saltillo","Coahuila",5030,5
6,"Monclova-Frontera","Monclova","Coahuila",5006,5
6,"Monclova-Frontera","Monclova","Coahuila",5010,5
6,"Monclova-Frontera","Monclova","Coahuila",5018,5
7,"Piedras Negras","Piedras Negras","Coahuila",5022,5
7,"Piedras Negras","Piedras Negras","Coahuila",5025,5
8,"Colima-Villa de Álvarez","Colima","Colima",6002,6
8,"Colima-Villa de Álvarez","Colima","Colima",6003,6
8,"Colima-Villa de Álvarez","Colima","Colima",6004,6
8,"Colima-Villa de Álvarez","Colima","Colima",6005,6
8,"Colima-Villa de Álvarez","Colima","Colima",6010,6
9,"Tecomán","Tecomán","Colima",6001,6
9,"Tecomán","Tecomán","Colima",6009,6
10,"Tuxtla Gutiérrez","Tuxtla","Chiapas",7012,7
10,"Tuxtla Gutiérrez","Tuxtla","Chiapas",7027,7
10,"Tuxtla Gutiérrez","Tuxtla","Chiapas",7101,7
11,"Juárez","Juárez","Chihuahua",8037,8
12,"Chihuahua","Chihuahua","Chihuahua",8002,8
12,"Chihuahua","Chihuahua","Chihuahua",8004,8
12,"Chihuahua","Chihuahua","Chihuahua",8019,8
13,"Valle de México","ZMVM","Ciudad de México",9002,9
13,"Valle de México","ZMVM","Ciudad de México",9003,9
13,"Valle de México","ZMVM","Ciudad de México",9004,9
13,"Valle de México","ZMVM","Ciudad de México",9005,9
13,"Valle de México","ZMVM","Ciudad de México",9006,9
13,"Valle de México","ZMVM","Ciudad de México",9007,9
13,"Valle de México","ZMVM","Ciudad de México",9008,9
13,"Valle de México","ZMVM","Ciudad de México",9009,9
