trimestre,CVEMET,zona_metro,acteco
2011-06-01,001,Aguascalientes,0
2011-06-01,002,Tijuana,0
2011-06-01,003,Mexicali,0
2011-06-01,004,La Laguna,0
2011-06-01,005,Saltillo,0
2011-06-01,006,Monclova,0
2011-06-01,007,Piedras Negras,0
2011-06-01,008,Colima,0
2011-06-01,009,Tecomán,0
2011-06-01,010,Tuxtla,0
2011-06-01,011,Juárez,0
2011-06-01,012,Chihuahua,0
2011-06-01,013,CDMX,0
2011-06-01,014,León,0
2011-06-01,015,San Francisco,0
2011-06-01,016,Acapulco,0
2011-06-01,017,Pachuca,0
2011-06-01,018,Tulancingo,0
2011-06-01,019,Tula,0
2011-06-01,020,Guadalajara,0
2011-06-01,021,Puerto Vallarta,0
2011-06-01,022,Ocotlán,0
2011-06-01,023,Toluca,0
2011-06-01,024,Morelia,0
2011-06-01,025,Zamora,0
2011-06-01,026,Pénjamo,0
2011-06-01,027,Cuernavaca,0
2011-06-01,028,Cuautla,0
2011-06-01,029,Tepic,0
2011-06-01,030,Monterrey,0
2011-06-01,031,Oaxaca,0
2011-06-01,032,Tehuantepec,0
2011-06-01,033,Puebla,0
2011-06-01,034,Tehuacán,0
2011-06-01,035,Querétaro,0
2011-06-01,036,Cancún,0
2011-06-01,037,San Luis,0
2011-06-01,038,Cd. Fernández,0
2011-06-01,039,Guaymas,0
2011-06-01,040,Villahermosa,0
2011-06-01,041,Tampico,0
2011-06-01,042,Reynosa,0
2011-06-01,043,Matamoros,0
2011-06-01,044,Nuevo Laredo,0
2011-06-01,045,Tlaxcala,0
2011-06-01,046,Veracruz,0
2011-06-01,047,Xalapa,0
2011-06-01,048,Poza Rica,0
2011-06-01,049,Orizaba,0
2011-06-01,050,Minatitlán,0
2011-06-01,051,Coatzacoalcos,0
2011-06-01,052,Córdoba,0
2011-06-01,053,Mérida,0
2011-06-01,054,Zacatecas,0
2011-06-01,055,Ensenada,0
2011-06-01,056,La Paz,0
2011-06-01,057,Los Cabos,0
2011-06-01,058,Campeche,0
2011-06-01,059,Cd. del Carmen,0
2011-06-01,060,Manzanillo,0
2011-06-01,061,Tapachula,0
2011-06-01,062,Durango,0
2011-06-01,063,Celaya,0
2011-06-01,064,Guanajuato,0
2011-06-01,065,Irapuato,0
2011-06-01,066,Salamanca,0
2011-06-01,067,Uruapan,0
2011-06-01,068,San Juan del Río,0
2011-06-01,069,Los Mochis,0
2011-06-01,070,Culiacán,0
2011-06-01,071,Mazatlán,0
2011-06-01,072,Cd. Obregón,0
2011-06-01,073,Hermosillo,0
2011-06-01,074,Cárdenas,0
2011-06-01,075,Cd. Victoria,0
2011-06-01,076,Chetumal,0
2011-06-01,077,Chilpancingo,0
2011-06-01,078,Moroleón,0
2011-09-01,001,Aguascalientes,0
2011-09-01,002,Tijuana,0
2011-09-01,003,Mexicali,0
2011-09-01,004,La Laguna,248912.508514022
2011-09-01,005,Saltillo,118354.811184593
2011-09-01,006,Monclova,60266.3137125396
2011-09-01,007,Piedras Negras,39382.3925090693
2011-09-01,008,Colima,43764.5267145055
2011-09-01,009,Tecomán,9627.47072535286
2011-09-01,010,Tuxtla,97461.0646934048
2011-09-01,011,Juárez,216804.588458788
2011-09-01,012,Chihuahua,77602.9676485705
2011-09-01,013,CDMX,3361896.08531717
2011-09-01,014,León,179385.881868451
2011-09-01,015,San Francisco,19070.8565850182
2011-09-01,016,Acapulco,82607.3869391747
2011-09-01,017,Pachuca,66868.5583113439
2011-09-01,018,Tulancingo,22323.8866580114
2011-09-01,019,Tula,36993.3642434484
2011-09-01,020,Guadalajara,628312.238326296
2011-09-01,021,Puerto Vallarta,52729.599917028
2011-09-01,022,Ocotlán,12242.1378950419
2011-09-01,023,Toluca,164047.223715637
2011-09-01,024,Morelia,98069.5647351298
2011-09-01,025,Zamora,20870.0820953789
2011-09-01,026,Pénjamo,23907.7915161681
2011-09-01,027,Cuernavaca,89288.5557028759
